STAN/CIS  DATUM CAS   [kg] ROZDIL TEPL
1236505 21/06/22 21    8.8   0.4  21.6
1236505 21/06/22 18    8.4  -0.2  27.0
1236505 21/06/22 15    8.6  -0.4  27.6
1236505 21/06/22 12    9.0  -0.4  23.8
1236505 21/06/22 09    9.4   0.2  15.6
1236505 21/06/22 06    9.2  -0.2   8.7
1236505 21/06/22 03    9.4  -0.2  10.0
1236505 21/06/22 00    9.6  -0.1  11.1
1236505 20/06/22 21    9.7   0.1  15.6
1236505 20/06/22 18    9.6   0.8  18.6
1236505 20/06/22 15    8.8  -0.1  30.2
1236505 20/06/22 12    8.9  -0.9  29.2
1236505 20/06/22 09    9.8   1.4  22.8
1236505 20/06/22 06    8.4  -0.2  17.6
1236505 20/06/22 03    8.6  -0.2  20.5
1236505 20/06/22 00    8.8   1.0  24.3
1236505 19/06/22 21    7.8   0.4  31.2
1236505 19/06/22 18    7.4   0.5  37.1
1236505 19/06/22 15    6.9   0.5  38.6
1236505 19/06/22 12    6.4  -1.3  34.4
1236505 19/06/22 09    7.7   1.7  22.7
1236505 19/06/22 06    6.0  -0.2  15.8
1236505 19/06/22 03    6.2  -0.2  19.6
1236505 19/06/22 00    6.4   1.0  23.6
1236505 18/06/22 21    5.4   2.0  29.1
1236505 18/06/22 18    3.4  -0.4  35.6
1236505 18/06/22 15    3.8   0.5  35.6
1236505 18/06/22 12    3.3  -0.9  31.2
1236505 18/06/22 09    4.2   1.2  18.6
1236505 18/06/22 06    3.0  -0.4  12.2
1236505 18/06/22 03    3.4  -0.2  14.9
1236505 18/06/22 00    3.6   0.4  18.7
1236505 17/06/22 21    3.2   1.4  23.6
1236505 17/06/22 18    1.8  -0.4  29.6
1236505 17/06/22 15    2.2   0.2  30.3
1236505 17/06/22 12    2.0  -1.0  26.5
1236505 17/06/22 09    3.0   1.0  18.9
1236505 17/06/22 06    2.0  -0.2  11.6
1236505 17/06/22 03    2.2  -0.2  14.5
1236505 17/06/22 00    2.4   0.2  16.5
1236505 16/06/22 21    2.2   0.8  21.5
1236505 16/06/22 18    1.4  -0.1  27.5
